City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Christiana,-27.914,25.1611,70.68,36,22,16.98,ZA,1630005368
Province of Mantua,45.1667,10.7833,75.65,67,42,1.01,IT,1630005368
Itarema,-2.9248,-39.9167,83.86,62,9,21.7,BR,1630005369
Atuona,-9.8,-139.0333,77.9,72,0,21.32,PF,1630005369
Wana,32.2989,69.5725,83.19,32,0,4.21,PK,1630005369
Gazojak,41.1875,61.4036,83.7,23,0,5.61,TM,1630005370
Anshun,26.25,105.9333,61.52,93,100,3.96,CN,1630005370
Barrow,71.2906,-156.7887,42.82,81,90,13.8,US,1630005099
Arraias,-12.9288,-46.9437,94.14,15,85,5.61,BR,1630005371
Rio Branco,-9.9747,-67.81,97.41,41,40,12.66,BR,1630005371
Nsukka,6.8561,7.3927,70.5,96,100,5.37,NG,1630005372
Chara,56.9064,118.2631,55.44,66,97,2.24,RU,1630005372
Ahipara,-35.1667,173.1667,57.42,91,100,13.0,NZ,1630005373
Punta Ocote,15.2,-87.2833,85.8,54,40,11.5,HN,1630005373
Port Elizabeth,-33.918,25.5701,57.49,94,40,4.61,ZA,1630005373
Shingū,33.7333,135.9833,77.92,85,99,5.19,JP,1630005374
Bengkulu,-3.8004,102.2655,74.55,87,5,5.84,ID,1630005374
Shaunavon,49.6501,-108.4181,67.78,43,61,11.79,CA,1630005375
Makakilo City,21.3469,-158.0858,80.28,61,20,10.36,US,1630005260
Lorengau,-2.0226,147.2712,80.1,80,100,9.75,PG,1630005375
Kattivākkam,13.2167,80.3167,82.49,69,100,13.06,IN,1630005376
Saint Paul Harbor,57.79,-152.4072,56.71,77,1,4.61,US,1630005376
Manzhouli,49.6,117.4333,51.98,90,100,10.8,CN,1630005377
Kapaa,22.0752,-159.319,79.88,71,20,1.99,US,1630005127
Haines Junction,60.7522,-137.5108,53.55,71,100,1.14,CA,1630005377
Khatanga,71.9667,102.5,36.45,85,98,4.63,RU,1630005378
Puerto Ayacucho,5.6639,-67.6236,90.16,58,85,3.58,VE,1630005378
Marquette,46.5333,-87.6335,68.59,71,6,8.63,US,1630005378
Zhuhai,22.2769,113.5678,83.82,84,20,9.22,CN,1630005379
Jamkhed,18.7362,75.3121,75.65,83,100,9.15,IN,1630005379
Bambanglipuro,-7.95,110.2833,72.28,82,20,2.86,ID,1630005379
Margate,51.3813,1.3862,61.68,64,100,5.99,GB,1630005115
Broken Hill,-31.95,141.4333,41.52,78,19,1.3,AU,1630005380
São Filipe,14.8961,-24.4956,78.66,89,99,8.68,CV,1630005380
Kangaatsiaq,68.3065,-53.4641,39.87,92,100,9.31,GL,1630005381
Warrington,53.3925,-2.5802,61.84,68,0,3.0,GB,1630005381
São João da Barra,-21.6403,-41.0511,78.89,75,0,26.04,BR,1630005381
Banda Aceh,5.5577,95.3222,78.67,82,80,7.47,ID,1630005382
Saldanha,-33.0117,17.9442,51.85,88,100,23.47,ZA,1630005382
Joshīmath,30.5667,79.5667,71.11,92,99,0.36,IN,1630005383
Port Alfred,-33.5906,26.891,64.24,82,9,7.38,ZA,1630005383
Fillan,63.6064,8.9696,53.06,71,92,10.98,NO,1630005383
Ossora,59.2353,163.0719,55.36,92,100,5.19,RU,1630005384
Ancud,-41.8697,-73.8203,47.73,63,99,8.72,CL,1630005384
Bubaque,11.2833,-15.8333,80.51,77,100,4.83,GW,1630005384
Benghazi,32.1167,20.0667,81.3,69,0,9.37,LY,1630005160
Talara,-4.5772,-81.2719,74.16,64,0,13.8,PE,1630005385
Porosozero,62.7191,32.727,50.36,78,100,6.69,RU,1630005385
Mariental,-24.6333,17.9667,67.91,12,2,11.65,NA,1630005386
Bambous Virieux,-20.3428,57.7575,70.05,68,20,9.22,MU,1630005386
Upernavik,72.7868,-56.1549,38.57,97,100,12.44,GL,1630005387
Lahat,-3.8,103.5333,71.94,95,25,2.37,ID,1630005387
Nador,35.174,-2.9287,75.45,83,20,4.61,MA,1630005176
Kalmunai,7.4167,81.8167,81.0,76,100,2.98,LK,1630005388
Lodja,-3.4833,23.4333,80.42,50,35,0.58,CD,1630005388
Santiago de Cao,-7.9589,-79.2392,62.73,82,90,13.8,PE,1630005388
Acaraú,-2.8856,-40.12,84.76,61,8,22.84,BR,1630005389
Ribeira Grande,38.5167,-28.7,72.0,56,20,14.97,PT,1630005389
Gorontalo,0.5412,123.0595,74.73,95,100,2.95,ID,1630005390
Fortuna,40.5982,-124.1573,65.12,77,20,3.0,US,1630005390
Dromolaxia,34.8761,33.586,87.22,32,0,11.5,CY,1630005390
Miragoâne,18.4423,-73.0876,84.52,62,14,6.15,HT,1630005391
Iqaluit,63.7506,-68.5145,44.33,76,75,5.75,CA,1630005391
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,57.22,74,0,2.48,CN,1630005392
Mīrābād,30.4362,61.8383,88.27,11,0,20.96,AF,1630005392
Breytovo,58.2993,37.8617,53.83,90,100,11.9,RU,1630005392
Alice Springs,-23.7,133.8833,42.35,39,3,0.0,AU,1630005393
Lugovskoy,56.9585,64.529,66.42,96,100,7.63,RU,1630005393
Ca Mau,9.1769,105.15,75.63,91,100,2.98,VN,1630005393
Grindavik,63.8424,-22.4338,54.07,94,90,20.71,IS,1630005394
Mildura,-34.2,142.15,31.96,80,6,0.0,AU,1630005394
Bahía Blanca,-38.7196,-62.2724,56.62,18,88,23.96,AR,1630005180
Touros,-5.1989,-35.4608,83.3,62,0,19.33,BR,1630005395
Inverness,57.4791,-4.224,56.16,86,0,1.99,GB,1630005178
Labytnangi,66.6572,66.4183,44.29,91,100,7.36,RU,1630005395
Sur,22.5667,59.5289,91.04,52,71,14.12,OM,1630005396
Agadez,19.75,10.25,95.32,15,6,1.25,NE,1630005396
Morgaushi,55.9643,46.7743,57.36,55,92,6.55,RU,1630005397
Valley Station,38.1112,-85.8702,93.52,52,20,1.01,US,1630005397
Grootfontein,-19.5667,18.1167,67.57,40,0,2.3,NA,1630005397
Iwanai,42.9744,140.5089,66.11,97,98,3.8,JP,1630005398
Oktyabr'skoye,43.0645,44.7417,62.74,82,62,8.95,RU,1630005398
Puerto Madryn,-42.7692,-65.0385,37.69,67,100,32.26,AR,1630005399
Redmond,47.674,-122.1215,66.58,71,100,5.01,US,1630005351
Half Moon Bay,37.4636,-122.4286,73.29,68,1,1.01,US,1630005227
Nome,64.5011,-165.4064,48.27,67,1,12.66,US,1630005399
Ust-Tsilma,65.441,52.1498,44.38,85,100,5.21,RU,1630005400
Ponta Delgada,37.7333,-25.6667,72.32,60,20,5.75,PT,1630005400
Mezen',65.8522,44.24,43.84,83,94,5.08,RU,1630005400
Barahan,13.0121,120.762,78.66,75,99,3.22,PH,1630005401
Port-Gentil,-0.7193,8.7815,76.35,84,90,12.5,GA,1630005401
Plérin,48.5425,-2.7798,61.14,91,75,4.0,FR,1630005402
Midland,31.9974,-102.0779,89.44,41,40,11.5,US,1630005264
Necochea,-38.5473,-58.7368,50.04,77,100,24.74,AR,1630005402
Kanadey,53.1679,47.5264,57.54,50,2,7.61,RU,1630005403
Taltal,-25.4,-70.4833,61.65,65,24,5.01,CL,1630005403
Kruisfontein,-34.0033,24.7314,55.89,88,0,5.46,ZA,1630005404
Kalabo,-14.97,22.6814,71.82,18,0,4.29,ZM,1630005404
Vestmanna,62.1564,-7.1664,50.92,100,90,2.3,FO,1630005404
Yeppoon,-23.1333,150.7333,46.18,74,0,3.87,AU,1630005405
Nikolskoye,59.7035,30.7861,57.09,82,100,8.81,RU,1630005405
Ajuchitlán,20.7167,-100.0167,71.65,43,4,13.0,MX,1630005406
Vilyuysk,63.7553,121.6247,49.86,78,100,9.28,RU,1630005406
Bahār,34.9072,48.4414,76.44,16,0,12.35,IR,1630005407
Muros,42.7762,-9.0603,67.28,86,47,1.25,ES,1630005407
Abhā,18.2164,42.5053,71.85,60,0,4.61,SA,1630005407
Vryburg,-26.9566,24.7284,66.43,49,26,15.12,ZA,1630005408
Odesa,46.4775,30.7326,62.53,94,20,4.47,UA,1630005392
Cockburn Town,21.4612,-71.1419,85.96,66,40,12.66,TC,1630005356
Meulaboh,4.1363,96.1285,76.17,90,99,3.53,ID,1630005408
Betioky,-23.7167,44.3833,68.79,71,0,12.37,MG,1630005409
Samarai,-10.6167,150.6667,79.79,82,69,12.35,PG,1630005409
Prince Rupert,54.3161,-130.3201,57.52,91,90,3.44,CA,1630005325
Thompson,55.7435,-97.8558,69.93,29,5,9.04,CA,1630005410
Thinadhoo,0.5333,72.9333,82.87,74,14,10.16,MV,1630005410
Iquitos,-3.7481,-73.2472,95.04,49,75,6.91,PE,1630005411
George Town,5.4112,100.3354,80.06,88,20,2.3,MY,1630005327
Mazagão,-0.115,-51.2894,93.25,50,23,5.03,BR,1630005411
Rapid Valley,44.0625,-103.1463,81.32,48,1,3.0,US,1630005412
Kondoa,-4.9,35.7833,63.88,42,0,6.91,TZ,1630005412
Camacha,33.0833,-16.3333,72.81,73,20,11.5,PT,1630005412
Atasū,48.6814,71.6433,70.65,27,56,8.25,KZ,1630005413
Dongsheng,39.8161,109.9776,55.62,57,8,5.75,CN,1630005413
Khani,41.9563,42.9566,65.77,86,0,4.05,GE,1630005414
Tura,25.5198,90.2201,73.99,99,100,3.98,IN,1630005414
Manono,-7.3,27.4167,84.34,28,22,4.56,CD,1630005414
Uttarkāshi,30.7333,78.45,72.27,94,96,2.24,IN,1630005415
Buala,-8.145,159.5921,79.25,82,69,8.1,SB,1630005415
Hong Kong,22.2855,114.1577,84.79,84,1,1.01,HK,1630005170
Chicama,-7.8447,-79.1469,61.34,62,78,9.91,PE,1630005416
Olden,61.8364,6.8064,56.75,60,26,3.67,NO,1630005416
Mahébourg,-20.4081,57.7,70.09,68,20,9.22,MU,1630005417
Dzerzhinskoye,56.8344,95.2283,60.39,94,63,0.74,RU,1630005417
Provideniya,64.3833,-173.3,39.31,60,0,6.71,RU,1630005417
Lüderitz,-26.6481,15.1594,55.53,82,0,5.68,NA,1630005418
Leer,8.3018,30.1418,69.84,90,100,2.93,SS,1630005418
Pisco,-13.7,-76.2167,68.05,64,0,16.11,PE,1630005419
Inhambane,-23.865,35.3833,71.58,88,20,4.61,MZ,1630005419
Yerbogachën,61.2767,108.0108,43.75,86,19,4.0,RU,1630005419
Nadym,65.5333,72.5167,45.97,91,100,19.8,RU,1630005420
Salisbury,51.0693,-1.7957,62.8,63,0,9.22,GB,1630005327
Tezu,27.9167,96.1667,73.69,97,100,3.18,IN,1630005420
Hong Gai,20.956,107.0946,82.31,88,100,6.04,VN,1630005421
Laas,46.6166,10.7002,69.93,76,93,6.11,IT,1630005421
Constantine,36.365,6.6147,76.41,69,20,2.3,DZ,1630005421
Beruwala,6.4788,79.9828,78.76,88,100,8.9,LK,1630005422
Kanhangad,12.3081,75.1063,77.86,87,100,2.28,IN,1630005422
Pangnirtung,66.1451,-65.7125,46.4,76,75,17.27,CA,1630005423
Ordzhonīkīdze,52.4411,61.7408,72.25,34,6,3.51,KZ,1630005423
Hereford,52.0568,-2.7148,62.64,52,0,6.17,GB,1630005424
Beāwar,26.1,74.3167,82.04,54,81,14.54,IN,1630005424
Tiznit Province,29.5833,-9.5,74.25,61,4,5.35,MA,1630005424
Ostrovnoy,68.0531,39.5131,42.48,76,39,7.52,RU,1630005425
Saint-Leu,-21.15,55.2833,64.11,75,16,13.82,RE,1630005425
Nechí,8.0942,-74.7757,88.3,60,100,4.34,CO,1630005426
Gornopravdinsk,60.05,69.9,61.81,97,100,6.24,RU,1630005426
Matias Barbosa,-21.8692,-43.3194,76.24,42,5,6.76,BR,1630005426
Yangi Marg`ilon,40.4272,71.7189,75.92,33,78,4.61,UZ,1630005427
São Domingos,-13.3983,-46.3183,93.85,16,76,6.49,BR,1630005427
Bathsheba,13.2167,-59.5167,88.41,66,40,18.41,BB,1630005428
Hammerfest,70.6634,23.6821,50.45,71,0,5.75,NO,1630005428
Awjilah,29.1081,21.2869,87.91,24,0,8.66,LY,1630005429
Port-Cartier,50.0334,-66.8654,64.62,88,98,6.82,CA,1630005429
Lompoc,34.6391,-120.4579,70.68,77,1,12.66,US,1630005392
Matara,5.9485,80.5353,78.21,88,99,11.61,LK,1630005429
Cape Canaveral,28.4058,-80.6048,87.4,76,1,13.8,US,1630005430
Vavatenina,-17.4667,49.2,64.92,94,88,1.9,MG,1630005430
Puerto Escondido,15.85,-97.0667,88.63,62,75,16.11,MX,1630005363
Lagoa,39.05,-27.9833,68.97,62,92,15.12,PT,1630005431
Moose Factory,51.2585,-80.6094,57.18,62,90,13.8,CA,1630005431
Diego de Almagro,-26.3667,-70.05,70.7,15,0,9.57,CL,1630005432
Asău,46.4333,26.4,56.95,90,0,4.88,RO,1630005432
Saiha,22.4833,92.9667,71.01,99,100,2.08,IN,1630005433
Catió,11.2833,-15.25,77.94,87,100,4.85,GW,1630005433
Monroe,43.1501,-77.6831,86.9,69,20,9.22,US,1630005433
San Patricio,28.017,-97.5169,92.52,40,83,9.8,US,1630005434
Banff,51.1762,-115.5698,66.42,32,100,4.61,CA,1630005434
Mehamn,71.0357,27.8492,51.71,62,100,13.67,NO,1630005435
Tautira,-17.7333,-149.15,75.22,74,57,14.94,PF,1630005435
Yunyang,33.4474,112.7142,63.39,89,100,2.42,CN,1630005435
Kieta,-6.2167,155.6333,78.12,85,100,6.91,PG,1630005436
Staryy Nadym,65.6118,72.6842,45.84,92,100,19.8,RU,1630005436
Evensk,61.95,159.2333,49.1,99,100,6.58,RU,1630005436
High Level,58.5169,-117.136,71.71,46,40,5.75,CA,1630005437
Baghdad,33.3406,44.4009,93.11,24,0,6.91,IQ,1630005283
Olafsvik,64.8945,-23.7142,54.81,87,100,15.68,IS,1630005437
Bilibino,68.0546,166.4372,41.47,89,100,1.97,RU,1630005438
Yima,34.7381,111.8839,63.36,87,68,1.23,CN,1630005438
Te Anau,-45.4167,167.7167,43.11,98,100,2.26,NZ,1630005438
Arraial do Cabo,-22.9661,-42.0278,84.06,51,0,14.97,BR,1630005439
Vestmannaeyjar,63.4427,-20.2734,55.22,95,100,19.57,IS,1630005439
Caravelas,-17.7125,-39.2481,77.41,68,0,10.16,BR,1630005440
Cascais,38.6979,-9.4215,69.46,69,0,3.0,PT,1630005440
Katsuura,35.1333,140.3,77.02,94,100,1.97,JP,1630005440
Darnah,32.767,22.6367,78.89,81,0,14.2,LY,1630005441
Payo,-3.7508,103.6372,71.92,95,28,2.33,ID,1630005441
Pochutla,15.7432,-96.4661,77.81,71,100,12.03,MX,1630005442
At-Bashi,41.1702,75.8106,55.81,49,48,2.1,KG,1630005442
Nelson Bay,-32.7167,152.15,46.35,94,38,14.29,AU,1630005442
Lázaro Cárdenas,17.9583,-102.2,86.4,66,91,3.22,MX,1630005443
Sakaiminato,35.55,133.2333,73.38,94,75,6.91,JP,1630005443
Palmer,42.1584,-72.3287,91.83,55,40,6.91,US,1630005444
Diamantino,-14.4086,-56.4461,97.14,19,100,9.1,BR,1630005444
Semey,50.4111,80.2275,66.99,46,0,8.23,KZ,1630005444
Portland,45.5234,-122.6762,68.54,74,90,3.0,US,1630005081
Cherskiy,68.75,161.3,42.78,83,95,5.03,RU,1630005445
Shestakovo,56.4915,103.96,50.92,92,24,0.2,RU,1630005445
Safi,32.2994,-9.2372,71.67,79,0,13.22,MA,1630005446
Balabac,7.9868,117.0645,77.81,89,100,6.13,PH,1630005446
Srednekolymsk,67.45,153.6833,52.29,54,100,10.31,RU,1630005447
Nuuk,64.1835,-51.7216,45.21,81,75,6.91,GL,1630005447
Kaduqli,11.0167,29.7167,70.47,91,100,4.72,SD,1630005447
Oranjemund,-28.55,16.4333,56.19,76,0,14.97,NA,1630005448
Sibolga,1.7427,98.7792,75.27,90,100,2.86,ID,1630005448
Shimoda,34.6667,138.95,80.44,83,100,3.4,JP,1630005449
Purwodadi Grobogan,-7.0868,110.9158,71.89,75,46,6.15,ID,1630005449
Springdale,36.1867,-94.1288,92.41,54,75,4.61,US,1630005325
Imbituba,-28.24,-48.6703,64.29,87,100,13.89,BR,1630005449
Port Augusta,-32.5,137.7667,38.71,82,5,3.49,AU,1630005450
Marzuq,14.4,46.4667,82.35,53,44,7.67,YE,1630005450
Antofagasta,-23.65,-70.4,60.08,71,50,10.47,CL,1630005363
Port Lincoln,-34.7333,135.8667,48.29,71,33,12.88,AU,1630005451
Ikongo,-21.8833,47.4333,62.96,99,63,2.04,MG,1630005451
Laguna,38.421,-121.4238,84.02,35,1,3.0,US,1630005382
Lashio,22.9333,97.75,67.59,99,100,1.45,MM,1630005452
Bandundu Province,-3.3167,17.3667,86.97,44,82,3.4,CD,1630005452
Tondano,1.3038,124.9112,66.29,93,21,1.19,ID,1630005452
Barra de Tecoanapa,16.5167,-98.75,86.2,65,100,8.48,MX,1630005453
Husavik,66.0449,-17.3389,64.31,76,98,6.49,IS,1630005453
Yantal',56.8471,105.2542,51.46,95,5,1.68,RU,1630005454
Coromandel,-18.4733,-47.2003,87.3,20,6,3.06,BR,1630005454
Kysyl-Syr,63.8986,122.7617,48.16,86,86,8.68,RU,1630005455
Atherton,53.5237,-2.4935,61.05,67,0,4.0,GB,1630005455
Turukhansk,65.8167,87.9833,54.18,59,92,13.24,RU,1630005456
